Date,Open,High,Low,Close,Volume
10/05/2020,"21.22","21.64","20.56","21.01","13,252,880"
10/02/2020,"19.07","20.91","18.82","20.77","19,567,449"
10/01/2020,"19.25","20.37","19.15","20.17","13,913,880"
09/30/2020,"20.06","20.85","18.96","19.23","19,632,189"
09/29/2020,"20.69","20.98","19.59","20.44","32,274,100"
09/28/2020,"18.29","20.78","18.10","20.51","54,571,719"
09/25/2020,"15.97","16.47","15.87","16.43","5,428,466"
09/24/2020,"15.50","16.34","14.92","15.92","11,891,000"
09/23/2020,"16.44","16.69","15.54","15.73","9,965,116"
09/22/2020,"16.49","16.61","16.12","16.47","6,971,917"
09/21/2020,"16.76","16.99","15.90","16.48","10,817,360"
09/18/2020,"17.22","17.38","16.82","17.21","8,275,807"
09/17/2020,"17.00","17.32","16.72","17.18","7,316,156"
09/16/2020,"17.53","17.79","17.28","17.41","6,738,463"
09/15/2020,"17.48","18.08","17.17","17.70","8,909,104"
09/14/2020,"16.80","17.47","16.62","17.39","7,629,580"
09/11/2020,"17.45","17.60","16.33","16.56","12,764,690"
09/10/2020,"17.84","18.46","17.29","17.45","12,749,770"
09/09/2020,"18.18","18.71","17.12","17.71","20,204,471"
09/08/2020,"16.39","18.25","16.00","17.40","20,267,090"
09/04/2020,"16.57","16.89","14.86","15.92","15,028,520"
09/03/2020,"16.63","17.19","16.22","16.53","12,317,780"
09/02/2020,"17.50","17.54","16.33","17.10","13,413,690"
09/01/2020,"17.89","17.92","17.33","17.41","9,144,628"
08/31/2020,"18.13","18.26","17.43","17.90","12,781,370"
08/28/2020,"17.35","17.56","17.11","17.46","5,010,450"
08/27/2020,"17.58","17.65","16.85","17.28","8,927,346"
08/26/2020,"17.48","18.50","17.23","17.34","13,362,960"
08/25/2020,"17.79","17.84","17.13","17.49","6,591,651"
08/24/2020,"17.00","17.70","16.72","17.63","9,519,784"
08/21/2020,"17.25","17.60","16.77","16.87","8,947,404"
08/20/2020,"17.50","17.61","16.86","17.31","11,040,170"
08/19/2020,"17.74","18.18","17.50","17.53","7,690,408"
08/18/2020,"18.04","18.37","17.48","17.73","9,919,540"
08/17/2020,"18.68","18.73","17.24","18.17","15,575,530"
08/14/2020,"18.87","19.09","18.28","18.55","7,924,616"
08/13/2020,"18.20","19.48","18.02","18.77","15,602,670"
08/12/2020,"18.34","18.44","17.81","18.16","8,580,103"
08/11/2020,"19.55","19.67","18.14","18.28","10,638,750"
08/10/2020,"18.47","19.52","18.42","19.23","12,463,780"
08/07/2020,"19.07","19.30","18.13","18.25","19,625,961"
08/06/2020,"19.80","20.00","19.05","19.34","22,158,680"
08/05/2020,"20.09","20.68","19.31","20.15","17,072,230"
08/04/2020,"21.75","22.18","20.68","20.72","23,459,211"
08/03/2020,"23.65","24.30","22.66","24.02","22,211,850"
07/31/2020,"23.17","23.40","22.08","22.45","7,182,647"
07/30/2020,"22.20","23.40","21.91","22.88","9,228,726"
07/29/2020,"23.69","24.28","22.63","22.97","14,253,930"
07/28/2020,"25.20","25.80","23.60","23.86","23,162,580"
07/27/2020,"25.02","25.68","23.77","24.92","17,168,400"
07/24/2020,"24.00","24.85","23.10","24.31","20,508,330"
07/23/2020,"26.13","27.55","23.81","25.15","39,294,566"
07/22/2020,"24.53","26.53","24.50","25.54","26,802,881"
07/21/2020,"23.12","26.32","22.95","24.93","40,169,520"
07/20/2020,"23.76","23.87","22.00","22.98","20,749,961"
07/17/2020,"22.79","24.78","22.26","24.05","54,772,121"
07/16/2020,"19.46","22.20","19.07","21.07","52,787,832"
07/15/2020,"18.97","19.14","18.06","18.55","11,649,750"
07/14/2020,"18.11","18.61","17.05","18.43","15,802,560"
07/13/2020,"19.55","20.99","17.71","18.10","36,017,754"
07/10/2020,"19.32","19.98","18.27","19.25","27,768,961"
07/09/2020,"17.10","19.49","17.08","19.46","51,497,941"
07/08/2020,"16.61","16.82","16.20","16.79","8,722,608"
07/07/2020,"16.63","16.84","16.15","16.55","8,204,013"
07/06/2020,"16.58","17.09","16.05","16.95","13,901,530"
07/02/2020,"16.78","17.34","16.17","16.25","11,767,890"
07/01/2020,"16.70","16.89","15.86","16.70","14,961,020"
06/30/2020,"15.21","16.40","14.95","16.34","13,985,560"
06/29/2020,"15.40","15.59","14.65","15.42","12,930,400"
06/26/2020,"16.10","16.10","15.08","15.55","20,172,980"
06/25/2020,"15.70","15.83","15.02","15.25","14,516,000"
06/24/2020,"16.24","16.61","15.30","15.50","13,212,340"
06/23/2020,"17.45","17.58","16.40","16.45","19,659,211"
06/22/2020,"17.70","17.70","16.12","17.39","52,757,770"
06/19/2020,"15.30","15.67","14.94","15.00","14,732,980"
06/18/2020,"14.92","15.46","14.77","15.20","7,005,330"
06/17/2020,"15.28","15.73","14.92","14.98","6,853,908"
06/16/2020,"16.02","16.08","15.07","15.35","8,624,849"
06/15/2020,"14.45","15.54","14.21","15.32","10,350,160"
06/12/2020,"15.13","15.24","14.31","14.99","11,460,680"
06/11/2020,"15.24","15.66","14.30","14.46","17,517,020"
06/10/2020,"16.67","16.79","15.86","16.16","9,996,384"
06/09/2020,"17.25","17.29","16.28","16.64","11,087,100"
06/08/2020,"16.14","17.37","16.00","17.29","21,345,211"
06/05/2020,"16.21","16.27","15.66","15.77","13,186,290"
06/04/2020,"16.21","16.44","15.76","15.86","13,581,270"
06/03/2020,"15.35","16.79","15.20","16.39","29,900,119"
06/02/2020,"16.89","16.89","15.76","15.82","24,364,029"
06/01/2020,"18.36","18.70","17.26","17.52","22,555,980"
05/29/2020,"16.41","17.19","16.30","17.04","10,655,910"
05/28/2020,"17.00","17.25","16.30","16.47","9,882,526"
05/27/2020,"17.01","17.74","16.05","17.52","20,927,340"
05/26/2020,"16.16","16.85","15.42","16.33","16,161,020"
05/22/2020,"14.96","15.92","14.62","15.74","13,411,340"
05/21/2020,"15.05","15.28","14.60","14.71","9,460,025"
05/20/2020,"15.24","15.58","14.81","14.86","20,259,859"
05/19/2020,"16.01","16.43","15.62","15.87","6,688,506"
05/18/2020,"16.70","16.80","15.90","16.00","8,669,065"
05/15/2020,"15.60","16.46","15.48","15.62","7,992,382"
05/14/2020,"16.25","16.31","15.05","15.88","9,350,482"
05/13/2020,"17.52","17.65","16.16","16.54","8,986,188"
05/12/2020,"19.44","19.89","17.55","17.60","12,741,570"
05/11/2020,"18.91","19.99","18.50","19.40","13,092,310"
